trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
g_g001047,west,3,1,0,0,0,0,30,여,2;2;1;3;6;2;5;5,43,50110;26350;42150,,,,,
g_g001048,west,3,1,0,0,0,0,20,남,3;3;2;3;4;2;2;6,11,42210;41630;44825,,,,,
g_g001050,west,2,2,0,0,0,0,50,여,3;5;2;2;2;3;5;3,30,50110;42170;26230,,,,,
g_g001052,west,2,1,0,0,0,0,40,남,4;6;2;5;6;4;6;4,30,47130;11110;50130,,,,,
g_g001053,west,3,9,0,0,0,0,30,여,4;2;1;3;7;5;3;4,11,26710;48330;26350,,,,,
g_g001056,west,3,10,0,0,0,0,40,여,4;4;4;2;4;4;2;6,11,41830;42150;44825,,,,,
g_g001063,west,3,11,0,0,0,0,30,여,5;2;2;1;6;6;2;6,41,41480;28260;41280,,,,,
g_g001068,west,2,28,0,0,0,0,40,남,2;4;3;2;2;4;3;6,28,42210;26350;46150,,,,,
g_g001070,west,2,21,0,0,0,0,40,남,3;2;2;1;4;3;2;5,11,50130;42210;41250,,,,,
g_g001077,west,3,22,0,0,0,0,20,여,1;1;4;5;2;1;6;6,41,42150;50130;41110,,,,,
g_g001086,west,3,21,0,0,0,0,30,남,2;4;1;4;7;5;2;5,11,26350;50110;44150,,,,,
g_g001100,west,3,2,0,0,0,0,50,여,3;1;2;2;2;3;6;6,44,50130;26350;30200,,,,,
g_g001103,west,3,1,0,0,0,0,30,남,2;1;1;3;2;2;2;5,11,30200;41170;50130,,,,,
